channel,name,URL,topInfluencer,uploads,subs,views,dailyViews,weeklyViews,lastMonthViews,creationDate,days,subscribed,viewsPerUpload,viewsPerSubs,viewsPerDays,subsPerUpload,daysPerUpload,subs2019,lastUpload,uploadsLastFourMonths,uploadsLastWeek,ownsBrand,collabs,age
aishwarya kaushal,aishwarya kaushal,,n,271,100000,8865505,,,,4/20/2012,2933,n,32714,89,3023,369,11,,,,,,,
Samantha March,Samantha March,,n,1349,91400,10857673,,,,10/13/2011,3123,n,8049,119,3477,68,2,,,,,,,
Lauren Mae Beauty,Lauren Mae Beauty,,n,1036,77000,10057331,,,,2/7/2015,1910,n,9708,131,5266,74,2,,,,,,,
Kelly Gooch,Kelly Gooch,,n,739,61800,7672719,,,,3/29/2012,2955,n,10383,124,2597,84,4,,,,,,,
abb3rz07,Abby Wiliamson,,n,867,46300,5203170,,,,8/24/2012,2807,y,6001,112,1854,53,3,,,,,,n,
KelseeBrianaJai,Kelsee Briana Jai,,n,816,46100,4611392,,,,2/7/2010,3736,n,5651,100,1234,56,5,,,,,,,
MandyLea,MandyLea,,n,171,29300,1147605,,,,3/10/2016,1513,n,6711,39,758,171,9,,,,,,,
stungbysamantha,Samantha,,n,290,11700,951522,,,,2/7/2014,2275,n,3281,81,418,40,8,,,,,,,
myfacestory,My Face Story,,n,61,2870,141374,,,,3/28/2016,1495,n,2318,49,95,47,25,,,,,,,
Amy Bell,Amy Bell,,n,118,424,10219,,,,7/26/2013,2471,n,87,24,4,4,21,,,,,,,
